"year","variable","value","tributary"
2073,"surviveNum",125.4,"genesee"
2074,"surviveNum",114.6,"genesee"
2075,"surviveNum",128.4,"genesee"
2076,"surviveNum",134.6,"genesee"
2077,"surviveNum",131.6,"genesee"
2078,"surviveNum",137.2,"genesee"
2079,"surviveNum",134.6,"genesee"
2080,"surviveNum",133.4,"genesee"
2081,"surviveNum",128.4,"genesee"
2082,"surviveNum",126.2,"genesee"
2083,"surviveNum",128.6,"genesee"
2084,"surviveNum",126.2,"genesee"
2085,"surviveNum",141,"genesee"
2086,"surviveNum",137,"genesee"
2087,"surviveNum",137.2,"genesee"
2088,"surviveNum",138.8,"genesee"
2089,"surviveNum",151.4,"genesee"
2090,"surviveNum",135,"genesee"
2091,"surviveNum",138,"genesee"
2092,"surviveNum",138.6,"genesee"
2093,"surviveNum",145.2,"genesee"
2094,"surviveNum",151.8,"genesee"
2095,"surviveNum",145.6,"genesee"
2096,"surviveNum",147.6,"genesee"
2097,"surviveNum",150,"genesee"
2098,"surviveNum",154.6,"genesee"
2099,"surviveNum",147.8,"genesee"
2015,"percentSpawnSurvive",0.666,"genesee"
2016,"percentSpawnSurvive",0.728,"genesee"
2017,"percentSpawnSurvive",0.714,"genesee"
2018,"percentSpawnSurvive",0.62,"genesee"
2019,"percentSpawnSurvive",0.734,"genesee"
2020,"percentSpawnSurvive",0.712,"genesee"
2021,"percentSpawnSurvive",0.806,"genesee"
2022,"percentSpawnSurvive",0.686,"genesee"
2023,"percentSpawnSurvive",0.714,"genesee"
2024,"percentSpawnSurvive",0.71,"genesee"
2025,"percentSpawnSurvive",0.782,"genesee"
2026,"percentSpawnSurvive",0.694,"genesee"
2027,"percentSpawnSurvive",0.84,"genesee"
2028,"percentSpawnSurvive",0.746,"genesee"
2029,"percentSpawnSurvive",0.706,"genesee"
2030,"percentSpawnSurvive",0.766,"genesee"
2031,"percentSpawnSurvive",0.74,"genesee"
2032,"percentSpawnSurvive",0.768,"genesee"
2033,"percentSpawnSurvive",0.774,"genesee"
2034,"percentSpawnSurvive",0.83,"genesee"
2035,"percentSpawnSurvive",0.76,"genesee"
2036,"percentSpawnSurvive",0.688,"genesee"
2037,"percentSpawnSurvive",0.82,"genesee"
2038,"percentSpawnSurvive",0.798,"genesee"
2039,"percentSpawnSurvive",0.752,"genesee"
2040,"percentSpawnSurvive",0.822,"genesee"
2041,"percentSpawnSurvive",0.788,"genesee"
2042,"percentSpawnSurvive",0.862,"genesee"
2043,"percentSpawnSurvive",0.798,"genesee"
2044,"percentSpawnSurvive",0.778,"genesee"
2045,"percentSpawnSurvive",0.812,"genesee"
2046,"percentSpawnSurvive",0.822,"genesee"
2047,"percentSpawnSurvive",0.802,"genesee"
2048,"percentSpawnSurvive",0.76,"genesee"
2049,"percentSpawnSurvive",0.75,"genesee"
2050,"percentSpawnSurvive",0.772,"genesee"
2051,"percentSpawnSurvive",0.778,"genesee"
2052,"percentSpawnSurvive",0.792,"genesee"
2053,"percentSpawnSurvive",0.814,"genesee"
2054,"percentSpawnSurvive",0.84,"genesee"
2055,"percentSpawnSurvive",0.81,"genesee"
2056,"percentSpawnSurvive",0.824,"genesee"
2057,"percentSpawnSurvive",0.806,"genesee"
2058,"percentSpawnSurvive",0.792,"genesee"
2059,"percentSpawnSurvive",0.816,"genesee"
2060,"percentSpawnSurvive",0.854,"genesee"
2061,"percentSpawnSurvive",0.84,"genesee"
2062,"percentSpawnSurvive",0.752,"genesee"
2063,"percentSpawnSurvive",0.858,"genesee"
2064,"percentSpawnSurvive",0.772,"genesee"
2065,"percentSpawnSurvive",0.822,"genesee"
2066,"percentSpawnSurvive",0.836,"genesee"
2067,"percentSpawnSurvive",0.836,"genesee"
2068,"percentSpawnSurvive",0.814,"genesee"
2069,"percentSpawnSurvive",0.836,"genesee"
2070,"percentSpawnSurvive",0.802,"genesee"
2071,"percentSpawnSurvive",0.822,"genesee"
2072,"percentSpawnSurvive",0.818,"genesee"
2073,"percentSpawnSurvive",0.814,"genesee"
2074,"percentSpawnSurvive",0.822,"genesee"
2075,"percentSpawnSurvive",0.84,"genesee"
2076,"percentSpawnSurvive",0.872,"genesee"
2077,"percentSpawnSurvive",0.88,"genesee"
2078,"percentSpawnSurvive",0.85,"genesee"
2079,"percentSpawnSurvive",0.866,"genesee"
2080,"percentSpawnSurvive",0.842,"genesee"
2081,"percentSpawnSurvive",0.812,"genesee"
2082,"percentSpawnSurvive",0.812,"genesee"
2083,"percentSpawnSurvive",0.856,"genesee"
2084,"percentSpawnSurvive",0.822,"genesee"
2085,"percentSpawnSurvive",0.878,"genesee"
2086,"percentSpawnSurvive",0.854,"genesee"
2087,"percentSpawnSurvive",0.868,"genesee"
2088,"percentSpawnSurvive",0.858,"genesee"
2089,"percentSpawnSurvive",0.898,"genesee"
2090,"percentSpawnSurvive",0.866,"genesee"
2091,"percentSpawnSurvive",0.834,"genesee"
2092,"percentSpawnSurvive",0.836,"genesee"
2093,"percentSpawnSurvive",0.876,"genesee"
2094,"percentSpawnSurvive",0.854,"genesee"
2095,"percentSpawnSurvive",0.88,"genesee"
2096,"percentSpawnSurvive",0.89,"genesee"
2097,"percentSpawnSurvive",0.886,"genesee"
2098,"percentSpawnSurvive",0.868,"genesee"
2099,"percentSpawnSurvive",0.884,"genesee"
2015,"theoryMin",4.962,"genesee"
2016,"theoryMin",4.24,"genesee"
2017,"theoryMin",4.442,"genesee"
2018,"theoryMin",5.216,"genesee"
2019,"theoryMin",4.196,"genesee"
2020,"theoryMin",4.696,"genesee"
2021,"theoryMin",3.33,"genesee"
2022,"theoryMin",5.144,"genesee"
2023,"theoryMin",4.868,"genesee"
2024,"theoryMin",4.898,"genesee"
2025,"theoryMin",3.88,"genesee"
2026,"theoryMin",4.918,"genesee"
2027,"theoryMin",3.016,"genesee"
2028,"theoryMin",4.492,"genesee"
2029,"theoryMin",4.898,"genesee"
2030,"theoryMin",4.348,"genesee"
2031,"theoryMin",4.644,"genesee"
2032,"theoryMin",4.426,"genesee"
2033,"theoryMin",4.236,"genesee"
2034,"theoryMin",3.294,"genesee"
2035,"theoryMin",4.688,"genesee"
2036,"theoryMin",5.572,"genesee"
2037,"theoryMin",3.72,"genesee"
2038,"theoryMin",4.158,"genesee"
2039,"theoryMin",4.77,"genesee"
2040,"theoryMin",3.43,"genesee"
2041,"theoryMin",3.94,"genesee"
2042,"theoryMin",2.844,"genesee"
2043,"theoryMin",3.95,"genesee"
2044,"theoryMin",4.428,"genesee"
2045,"theoryMin",3.818,"genesee"
2046,"theoryMin",3.604,"genesee"
2047,"theoryMin",4.25,"genesee"
2048,"theoryMin",4.436,"genesee"
2049,"theoryMin",5.264,"genesee"
2050,"theoryMin",4.796,"genesee"
2051,"theoryMin",4.456,"genesee"
2052,"theoryMin",4,"genesee"
2053,"theoryMin",4.012,"genesee"
2054,"theoryMin",3.484,"genesee"
2055,"theoryMin",4.304,"genesee"
2056,"theoryMin",3.75,"genesee"
2057,"theoryMin",3.988,"genesee"
2058,"theoryMin",4.266,"genesee"
2059,"theoryMin",4.002,"genesee"
2060,"theoryMin",3.552,"genesee"
2061,"theoryMin",3.978,"genesee"
2062,"theoryMin",4.888,"genesee"
2063,"theoryMin",3.668,"genesee"
2064,"theoryMin",4.896,"genesee"
2065,"theoryMin",4.094,"genesee"
2066,"theoryMin",3.79,"genesee"
2067,"theoryMin",3.81,"genesee"
2068,"theoryMin",4.2,"genesee"
2069,"theoryMin",4.13,"genesee"
2070,"theoryMin",4.536,"genesee"
2071,"theoryMin",4.616,"genesee"
2072,"theoryMin",4.248,"genesee"
2073,"theoryMin",4.822,"genesee"
2074,"theoryMin",4.044,"genesee"
2075,"theoryMin",3.816,"genesee"
2076,"theoryMin",3.26,"genesee"
2077,"theoryMin",3.012,"genesee"
2078,"theoryMin",3.786,"genesee"
2079,"theoryMin",3.48,"genesee"
2080,"theoryMin",4.094,"genesee"
2081,"theoryMin",4.384,"genesee"
2082,"theoryMin",4.468,"genesee"
2083,"theoryMin",3.718,"genesee"
2084,"theoryMin",4.234,"genesee"
2085,"theoryMin",3.198,"genesee"
2086,"theoryMin",4,"genesee"
2087,"theoryMin",3.392,"genesee"
2088,"theoryMin",3.54,"genesee"
2089,"theoryMin",2.91,"genesee"
2090,"theoryMin",3.468,"genesee"
2091,"theoryMin",4.134,"genesee"
2092,"theoryMin",4.26,"genesee"
2093,"theoryMin",3.446,"genesee"
2094,"theoryMin",3.588,"genesee"
2095,"theoryMin",3.518,"genesee"
2096,"theoryMin",3.148,"genesee"
2097,"theoryMin",3.124,"genesee"
2098,"theoryMin",3.678,"genesee"
2099,"theoryMin",3.112,"genesee"
2015,"wintDay",116.8,"genesee"
2016,"wintDay",79.8,"genesee"
2017,"wintDay",87.2,"genesee"
2018,"wintDay",125.4,"genesee"
2019,"wintDay",78.6,"genesee"
2020,"wintDay",102.8,"genesee"
2021,"wintDay",33.6,"genesee"
2022,"wintDay",122.2,"genesee"
2023,"wintDay",102.8,"genesee"
2024,"wintDay",104.6,"genesee"
2025,"wintDay",61,"genesee"
2026,"wintDay",113.8,"genesee"
2027,"wintDay",19.6,"genesee"
2028,"wintDay",89.6,"genesee"
2029,"wintDay",109,"genesee"
2030,"wintDay",81.2,"genesee"
2031,"wintDay",97,"genesee"
2032,"wintDay",88.4,"genesee"
2033,"wintDay",76.8,"genesee"
2034,"wintDay",33,"genesee"
2035,"wintDay",100.8,"genesee"
2036,"wintDay",138.6,"genesee"
2037,"wintDay",51.8,"genesee"
2038,"wintDay",75,"genesee"
2039,"wintDay",104,"genesee"
2040,"wintDay",37.8,"genesee"
2041,"wintDay",59.4,"genesee"
2042,"wintDay",8.6,"genesee"
2043,"wintDay",59.6,"genesee"
2044,"wintDay",85,"genesee"
2045,"wintDay",57.2,"genesee"
2046,"wintDay",47.4,"genesee"
2047,"wintDay",77,"genesee"
2048,"wintDay",87,"genesee"
2049,"wintDay",118.8,"genesee"
2050,"wintDay",97,"genesee"
2051,"wintDay",90.4,"genesee"
2052,"wintDay",65,"genesee"
2053,"wintDay",63.2,"genesee"
2054,"wintDay",42.2,"genesee"
2055,"wintDay",74.6,"genesee"
2056,"wintDay",54.8,"genesee"
2057,"wintDay",68,"genesee"
2058,"wintDay",79.4,"genesee"
2059,"wintDay",67.6,"genesee"
2060,"wintDay",44.4,"genesee"
2061,"wintDay",60.4,"genesee"
2062,"wintDay",104.8,"genesee"
2063,"wintDay",47.2,"genesee"
2064,"wintDay",100.8,"genesee"
2065,"wintDay",70.2,"genesee"
2066,"wintDay",52.2,"genesee"
2067,"wintDay",54,"genesee"
2068,"wintDay",71.8,"genesee"
2069,"wintDay",69.4,"genesee"
2070,"wintDay",91.2,"genesee"
2071,"wintDay",89.4,"genesee"
2072,"wintDay",74.6,"genesee"
2073,"wintDay",95.4,"genesee"
2074,"wintDay",63.2,"genesee"
2075,"wintDay",59.4,"genesee"
2076,"wintDay",28.2,"genesee"
2077,"wintDay",18.2,"genesee"
2078,"wintDay",48.4,"genesee"
2079,"wintDay",43.6,"genesee"
2080,"wintDay",69.4,"genesee"
2081,"wintDay",80.2,"genesee"
2082,"wintDay",83.8,"genesee"
2083,"wintDay",54.2,"genesee"
2084,"wintDay",72.8,"genesee"
2085,"wintDay",26.2,"genesee"
2086,"wintDay",60.2,"genesee"
2087,"wintDay",33.8,"genesee"
2088,"wintDay",42,"genesee"
2089,"wintDay",13.4,"genesee"
2090,"wintDay",37.4,"genesee"
2091,"wintDay",60.6,"genesee"
2092,"wintDay",76.6,"genesee"
2093,"wintDay",35.6,"genesee"
2094,"wintDay",46.2,"genesee"
2095,"wintDay",39.4,"genesee"
2096,"wintDay",26,"genesee"
2097,"wintDay",22.8,"genesee"
2098,"wintDay",52.2,"genesee"
2099,"wintDay",22.8,"genesee"
2015,"wintPer",0.32,"genesee"
2016,"wintPer",0.218,"genesee"
2017,"wintPer",0.242,"genesee"
2018,"wintPer",0.342,"genesee"
2019,"wintPer",0.216,"genesee"
2020,"wintPer",0.284,"genesee"
2021,"wintPer",0.09,"genesee"
2022,"wintPer",0.336,"genesee"
2023,"wintPer",0.282,"genesee"
2024,"wintPer",0.286,"genesee"
2025,"wintPer",0.166,"genesee"
2026,"wintPer",0.312,"genesee"
2027,"wintPer",0.052,"genesee"
2028,"wintPer",0.246,"genesee"
2029,"wintPer",0.298,"genesee"
2030,"wintPer",0.22,"genesee"
2031,"wintPer",0.268,"genesee"
2032,"wintPer",0.242,"genesee"
2033,"wintPer",0.21,"genesee"
2034,"wintPer",0.09,"genesee"
2035,"wintPer",0.274,"genesee"
2036,"wintPer",0.38,"genesee"
2037,"wintPer",0.14,"genesee"
2038,"wintPer",0.204,"genesee"
2039,"wintPer",0.284,"genesee"
2040,"wintPer",0.104,"genesee"
2041,"wintPer",0.16,"genesee"
2042,"wintPer",0.024,"genesee"
2043,"wintPer",0.164,"genesee"
2044,"wintPer",0.234,"genesee"
2045,"wintPer",0.158,"genesee"
2046,"wintPer",0.13,"genesee"
2047,"wintPer",0.212,"genesee"
2048,"wintPer",0.238,"genesee"
2049,"wintPer",0.326,"genesee"
2050,"wintPer",0.268,"genesee"
2051,"wintPer",0.248,"genesee"
2052,"wintPer",0.178,"genesee"
2053,"wintPer",0.172,"genesee"
2054,"wintPer",0.116,"genesee"
2055,"wintPer",0.204,"genesee"
2056,"wintPer",0.152,"genesee"
2057,"wintPer",0.186,"genesee"
2058,"wintPer",0.218,"genesee"
2059,"wintPer",0.186,"genesee"
2060,"wintPer",0.122,"genesee"
2061,"wintPer",0.166,"genesee"
2062,"wintPer",0.288,"genesee"
2063,"wintPer",0.13,"genesee"
2064,"wintPer",0.276,"genesee"
2065,"wintPer",0.194,"genesee"
2066,"wintPer",0.142,"genesee"
2067,"wintPer",0.148,"genesee"
2068,"wintPer",0.196,"genesee"
2069,"wintPer",0.19,"genesee"
2070,"wintPer",0.25,"genesee"
2071,"wintPer",0.246,"genesee"
2072,"wintPer",0.204,"genesee"
2073,"wintPer",0.26,"genesee"
2074,"wintPer",0.172,"genesee"
2075,"wintPer",0.162,"genesee"
2076,"wintPer",0.078,"genesee"
2077,"wintPer",0.052,"genesee"
2078,"wintPer",0.132,"genesee"
2079,"wintPer",0.12,"genesee"
2080,"wintPer",0.19,"genesee"
2081,"wintPer",0.222,"genesee"
2082,"wintPer",0.23,"genesee"
2083,"wintPer",0.148,"genesee"
2084,"wintPer",0.2,"genesee"
2085,"wintPer",0.068,"genesee"
2086,"wintPer",0.164,"genesee"
2087,"wintPer",0.094,"genesee"
2088,"wintPer",0.114,"genesee"
2089,"wintPer",0.038,"genesee"
2090,"wintPer",0.1,"genesee"
2091,"wintPer",0.164,"genesee"
2092,"wintPer",0.212,"genesee"
2093,"wintPer",0.1,"genesee"
2094,"wintPer",0.126,"genesee"
2095,"wintPer",0.11,"genesee"
2096,"wintPer",0.072,"genesee"
2097,"wintPer",0.062,"genesee"
2098,"wintPer",0.144,"genesee"
2099,"wintPer",0.062,"genesee"
2015,"num.growDays",143.2,"nipigon"
2016,"num.growDays",159.4,"nipigon"
2017,"num.growDays",155.6,"nipigon"
2018,"num.growDays",151.8,"nipigon"
2019,"num.growDays",152,"nipigon"
2020,"num.growDays",163.2,"nipigon"
2021,"num.growDays",151,"nipigon"
2022,"num.growDays",151.8,"nipigon"
2023,"num.growDays",153.4,"nipigon"
2024,"num.growDays",149.8,"nipigon"
2025,"num.growDays",161,"nipigon"
2026,"num.growDays",157.4,"nipigon"
2027,"num.growDays",159,"nipigon"
2028,"num.growDays",161.2,"nipigon"
2029,"num.growDays",160.6,"nipigon"
2030,"num.growDays",159.2,"nipigon"
2031,"num.growDays",159.4,"nipigon"
2032,"num.growDays",165.4,"nipigon"
2033,"num.growDays",166.8,"nipigon"
2034,"num.growDays",161.8,"nipigon"
2035,"num.growDays",166,"nipigon"
2036,"num.growDays",163,"nipigon"
2037,"num.growDays",174.8,"nipigon"
2038,"num.growDays",169.4,"nipigon"
2039,"num.growDays",172.4,"nipigon"
2040,"num.growDays",165.6,"nipigon"
2041,"num.growDays",170.4,"nipigon"
2042,"num.growDays",167.6,"nipigon"
2043,"num.growDays",176.2,"nipigon"
2044,"num.growDays",168,"nipigon"
2045,"num.growDays",171.2,"nipigon"
2046,"num.growDays",171,"nipigon"
2047,"num.growDays",175.4,"nipigon"
2048,"num.growDays",164.4,"nipigon"
2049,"num.growDays",175,"nipigon"
2050,"num.growDays",171,"nipigon"
2051,"num.growDays",176.4,"nipigon"
2052,"num.growDays",178.6,"nipigon"
2053,"num.growDays",172.6,"nipigon"
2054,"num.growDays",180.4,"nipigon"
2055,"num.growDays",180.4,"nipigon"
2056,"num.growDays",180.8,"nipigon"
2057,"num.growDays",179.2,"nipigon"
2058,"num.growDays",180.4,"nipigon"
2059,"num.growDays",182.2,"nipigon"
2060,"num.growDays",180,"nipigon"
2061,"num.growDays",186.4,"nipigon"
2062,"num.growDays",177.4,"nipigon"
2063,"num.growDays",172.6,"nipigon"
2064,"num.growDays",185,"nipigon"
2065,"num.growDays",181.2,"nipigon"
2066,"num.growDays",177.6,"nipigon"
2067,"num.growDays",189.4,"nipigon"
2068,"num.growDays",170,"nipigon"
2069,"num.growDays",194.4,"nipigon"
2070,"num.growDays",186.6,"nipigon"
2071,"num.growDays",194.6,"nipigon"
2072,"num.growDays",189.2,"nipigon"
2073,"num.growDays",194.4,"nipigon"
2074,"num.growDays",187.4,"nipigon"
2075,"num.growDays",187.6,"nipigon"
2076,"num.growDays",202.6,"nipigon"
2077,"num.growDays",188.8,"nipigon"
2078,"num.growDays",201.4,"nipigon"
2079,"num.growDays",193.2,"nipigon"
2080,"num.growDays",201.4,"nipigon"
2081,"num.growDays",195.6,"nipigon"
2082,"num.growDays",190.6,"nipigon"
2083,"num.growDays",195.6,"nipigon"
2084,"num.growDays",205.4,"nipigon"
2085,"num.growDays",200.6,"nipigon"
2086,"num.growDays",196,"nipigon"
2087,"num.growDays",196.8,"nipigon"
2088,"num.growDays",201.6,"nipigon"
2089,"num.growDays",205.8,"nipigon"
2090,"num.growDays",199,"nipigon"
2091,"num.growDays",202.2,"nipigon"
2092,"num.growDays",200.2,"nipigon"
2093,"num.growDays",204.6,"nipigon"
2094,"num.growDays",211.4,"nipigon"
2095,"num.growDays",209.8,"nipigon"
2096,"num.growDays",209,"nipigon"
2097,"num.growDays",207.6,"nipigon"
2098,"num.growDays",218.6,"nipigon"
2099,"num.growDays",215.6,"nipigon"
2015,"growPercent_year",0.39,"nipigon"
2016,"growPercent_year",0.436,"nipigon"
2017,"growPercent_year",0.426,"nipigon"
2018,"growPercent_year",0.416,"nipigon"
2019,"growPercent_year",0.414,"nipigon"
2020,"growPercent_year",0.446,"nipigon"
2021,"growPercent_year",0.414,"nipigon"
2022,"growPercent_year",0.414,"nipigon"
2023,"growPercent_year",0.42,"nipigon"
2024,"growPercent_year",0.41,"nipigon"
2025,"growPercent_year",0.442,"nipigon"
2026,"growPercent_year",0.432,"nipigon"
2027,"growPercent_year",0.436,"nipigon"
2028,"growPercent_year",0.44,"nipigon"
2029,"growPercent_year",0.438,"nipigon"
2030,"growPercent_year",0.434,"nipigon"
2031,"growPercent_year",0.436,"nipigon"
2032,"growPercent_year",0.454,"nipigon"
2033,"growPercent_year",0.456,"nipigon"
2034,"growPercent_year",0.442,"nipigon"
2035,"growPercent_year",0.452,"nipigon"
2036,"growPercent_year",0.448,"nipigon"
2037,"growPercent_year",0.478,"nipigon"
2038,"growPercent_year",0.464,"nipigon"
2039,"growPercent_year",0.472,"nipigon"
2040,"growPercent_year",0.454,"nipigon"
2041,"growPercent_year",0.466,"nipigon"
2042,"growPercent_year",0.458,"nipigon"
2043,"growPercent_year",0.482,"nipigon"
2044,"growPercent_year",0.462,"nipigon"
2045,"growPercent_year",0.468,"nipigon"
2046,"growPercent_year",0.468,"nipigon"
2047,"growPercent_year",0.482,"nipigon"
2048,"growPercent_year",0.45,"nipigon"
2049,"growPercent_year",0.478,"nipigon"
2050,"growPercent_year",0.468,"nipigon"
2051,"growPercent_year",0.484,"nipigon"
2052,"growPercent_year",0.488,"nipigon"
2053,"growPercent_year",0.476,"nipigon"
2054,"growPercent_year",0.494,"nipigon"
2055,"growPercent_year",0.494,"nipigon"
2056,"growPercent_year",0.496,"nipigon"
2057,"growPercent_year",0.492,"nipigon"
2058,"growPercent_year",0.492,"nipigon"
2059,"growPercent_year",0.498,"nipigon"
2060,"growPercent_year",0.494,"nipigon"
2061,"growPercent_year",0.512,"nipigon"
2062,"growPercent_year",0.486,"nipigon"
2063,"growPercent_year",0.472,"nipigon"
2064,"growPercent_year",0.508,"nipigon"
2065,"growPercent_year",0.498,"nipigon"
2066,"growPercent_year",0.49,"nipigon"
2067,"growPercent_year",0.52,"nipigon"
2068,"growPercent_year",0.468,"nipigon"
2069,"growPercent_year",0.532,"nipigon"
2070,"growPercent_year",0.512,"nipigon"
2071,"growPercent_year",0.532,"nipigon"
2072,"growPercent_year",0.518,"nipigon"
2073,"growPercent_year",0.532,"nipigon"
2074,"growPercent_year",0.514,"nipigon"
2075,"growPercent_year",0.514,"nipigon"
2076,"growPercent_year",0.556,"nipigon"
2077,"growPercent_year",0.518,"nipigon"
2078,"growPercent_year",0.55,"nipigon"
2079,"growPercent_year",0.53,"nipigon"
2080,"growPercent_year",0.552,"nipigon"
2081,"growPercent_year",0.536,"nipigon"
2082,"growPercent_year",0.522,"nipigon"
2083,"growPercent_year",0.538,"nipigon"
2084,"growPercent_year",0.562,"nipigon"
2085,"growPercent_year",0.55,"nipigon"
2086,"growPercent_year",0.536,"nipigon"
2087,"growPercent_year",0.54,"nipigon"
2088,"growPercent_year",0.552,"nipigon"
2089,"growPercent_year",0.564,"nipigon"
2090,"growPercent_year",0.546,"nipigon"
2091,"growPercent_year",0.552,"nipigon"
2092,"growPercent_year",0.55,"nipigon"
2093,"growPercent_year",0.558,"nipigon"
2094,"growPercent_year",0.58,"nipigon"
2095,"growPercent_year",0.574,"nipigon"
2096,"growPercent_year",0.572,"nipigon"
2097,"growPercent_year",0.57,"nipigon"
2098,"growPercent_year",0.598,"nipigon"
2099,"growPercent_year",0.592,"nipigon"
2015,"num.spawnDays",21.2,"nipigon"
2016,"num.spawnDays",40.6,"nipigon"
2017,"num.spawnDays",26.4,"nipigon"
2018,"num.spawnDays",30,"nipigon"
2019,"num.spawnDays",33.6,"nipigon"
2020,"num.spawnDays",41.2,"nipigon"
2021,"num.spawnDays",32.8,"nipigon"
2022,"num.spawnDays",34,"nipigon"
2023,"num.spawnDays",35,"nipigon"
2024,"num.spawnDays",36,"nipigon"
2025,"num.spawnDays",39.2,"nipigon"
2026,"num.spawnDays",28.2,"nipigon"
2027,"num.spawnDays",41.4,"nipigon"
2028,"num.spawnDays",48.2,"nipigon"
2029,"num.spawnDays",43,"nipigon"
2030,"num.spawnDays",40.4,"nipigon"
2031,"num.spawnDays",42.4,"nipigon"
2032,"num.spawnDays",48.2,"nipigon"
2033,"num.spawnDays",52,"nipigon"
2034,"num.spawnDays",47.6,"nipigon"
2035,"num.spawnDays",48.6,"nipigon"
2036,"num.spawnDays",48.4,"nipigon"
2037,"num.spawnDays",49.2,"nipigon"
2038,"num.spawnDays",56.4,"nipigon"
2039,"num.spawnDays",60.6,"nipigon"
2040,"num.spawnDays",61.8,"nipigon"
2041,"num.spawnDays",62.4,"nipigon"
2042,"num.spawnDays",60,"nipigon"
2043,"num.spawnDays",64.2,"nipigon"
2044,"num.spawnDays",57.4,"nipigon"
2045,"num.spawnDays",66.4,"nipigon"
2046,"num.spawnDays",60.4,"nipigon"
2047,"num.spawnDays",61.2,"nipigon"
2048,"num.spawnDays",52.6,"nipigon"
2049,"num.spawnDays",66.6,"nipigon"
2050,"num.spawnDays",59.2,"nipigon"
2051,"num.spawnDays",70.2,"nipigon"
2052,"num.spawnDays",71.8,"nipigon"
2053,"num.spawnDays",64.8,"nipigon"
2054,"num.spawnDays",67,"nipigon"
2055,"num.spawnDays",64.4,"nipigon"
2056,"num.spawnDays",63.4,"nipigon"
2057,"num.spawnDays",67.4,"nipigon"
2058,"num.spawnDays",73.6,"nipigon"
2059,"num.spawnDays",73.6,"nipigon"
2060,"num.spawnDays",80.6,"nipigon"
2061,"num.spawnDays",78.4,"nipigon"
2062,"num.spawnDays",73.6,"nipigon"
2063,"num.spawnDays",67.4,"nipigon"
2064,"num.spawnDays",71.8,"nipigon"
2065,"num.spawnDays",79.2,"nipigon"
2066,"num.spawnDays",85.8,"nipigon"
2067,"num.spawnDays",84,"nipigon"
2068,"num.spawnDays",76.4,"nipigon"
2069,"num.spawnDays",90.8,"nipigon"
2070,"num.spawnDays",91,"nipigon"
2071,"num.spawnDays",87,"nipigon"
2072,"num.spawnDays",78.2,"nipigon"
2073,"num.spawnDays",87.8,"nipigon"
2074,"num.spawnDays",84.6,"nipigon"
2075,"num.spawnDays",82.8,"nipigon"
2076,"num.spawnDays",96.6,"nipigon"
2077,"num.spawnDays",91.2,"nipigon"
2078,"num.spawnDays",97.8,"nipigon"
2079,"num.spawnDays",91.2,"nipigon"
2080,"num.spawnDays",90,"nipigon"
2081,"num.spawnDays",99,"nipigon"
2082,"num.spawnDays",100.2,"nipigon"
2083,"num.spawnDays",97.6,"nipigon"
2084,"num.spawnDays",96.8,"nipigon"
2085,"num.spawnDays",101.6,"nipigon"
2086,"num.spawnDays",105.2,"nipigon"
2087,"num.spawnDays",97.8,"nipigon"
2088,"num.spawnDays",102,"nipigon"
2089,"num.spawnDays",99.2,"nipigon"
2090,"num.spawnDays",103.8,"nipigon"
2091,"num.spawnDays",99.2,"nipigon"
2092,"num.spawnDays",103.2,"nipigon"
2093,"num.spawnDays",105,"nipigon"
2094,"num.spawnDays",115.4,"nipigon"
2095,"num.spawnDays",116.2,"nipigon"
2096,"num.spawnDays",110.2,"nipigon"
2097,"num.spawnDays",121.2,"nipigon"
2098,"num.spawnDays",117.4,"nipigon"
2099,"num.spawnDays",106.6,"nipigon"
2015,"spawnPercent_year",0.058,"nipigon"
2016,"spawnPercent_year",0.114,"nipigon"
2017,"spawnPercent_year",0.072,"nipigon"
2018,"spawnPercent_year",0.082,"nipigon"
2019,"spawnPercent_year",0.094,"nipigon"
2020,"spawnPercent_year",0.112,"nipigon"
2021,"spawnPercent_year",0.09,"nipigon"
2022,"spawnPercent_year",0.09,"nipigon"
2023,"spawnPercent_year",0.098,"nipigon"
2024,"spawnPercent_year",0.1,"nipigon"
2025,"spawnPercent_year",0.108,"nipigon"
2026,"spawnPercent_year",0.078,"nipigon"
2027,"spawnPercent_year",0.114,"nipigon"
2028,"spawnPercent_year",0.132,"nipigon"
2029,"spawnPercent_year",0.118,"nipigon"
2030,"spawnPercent_year",0.112,"nipigon"
2031,"spawnPercent_year",0.118,"nipigon"
2032,"spawnPercent_year",0.132,"nipigon"
2033,"spawnPercent_year",0.142,"nipigon"
2034,"spawnPercent_year",0.13,"nipigon"
2035,"spawnPercent_year",0.134,"nipigon"
2036,"spawnPercent_year",0.132,"nipigon"
2037,"spawnPercent_year",0.136,"nipigon"
2038,"spawnPercent_year",0.154,"nipigon"
2039,"spawnPercent_year",0.164,"nipigon"
2040,"spawnPercent_year",0.17,"nipigon"
2041,"spawnPercent_year",0.172,"nipigon"
2042,"spawnPercent_year",0.162,"nipigon"
2043,"spawnPercent_year",0.176,"nipigon"
2044,"spawnPercent_year",0.156,"nipigon"
2045,"spawnPercent_year",0.18,"nipigon"
2046,"spawnPercent_year",0.166,"nipigon"
2047,"spawnPercent_year",0.17,"nipigon"
2048,"spawnPercent_year",0.142,"nipigon"
2049,"spawnPercent_year",0.18,"nipigon"
2050,"spawnPercent_year",0.162,"nipigon"
2051,"spawnPercent_year",0.192,"nipigon"
